UserId,MFAMethod,CreatedAt,ClientIP,Application,Browser,OS,Unit,Title
U4009,SMS,2025-05-28 15:51:55,10.14.107.112,CRM,Firefox,Windows 10,Satış,Takım Lideri
U4009,OTP,2025-05-25 08:05:59,10.14.107.112,CRM,Chrome,Windows 10,Satış,Takım Lideri
U4009,OTP,2025-05-06 06:57:03,10.57.39.138,CRM,Safari,macOS,Satış,Takım Lideri
U4010,SMS,2025-05-26 14:44:46,172.22.42.68,HR System,Chrome,Windows 10,İK,Yönetici
U4010,SMS,2025-05-18 08:37:47,172.22.42.68,HR System,Chrome,Windows 10,İK,Yönetici
U4010,SMS,2025-05-17 19:58:54,192.168.195.58,CRM,Chrome,Windows 10,İK,Yönetici
U4011,SMS,2025-05-13 18:55:15,192.168.166.66,CRM,Chrome,Windows 10,Bilgi İşlem,Takım Lideri
U4011,SMS,2025-05-19 09:26:42,192.168.166.66,HR System,Safari,Windows 10,Bilgi İşlem,Takım Lideri
U4011,SMS,2025-05-13 13:15:16,192.168.166.66,HR System,Chrome,Linux,Bilgi İşlem,Takım Lideri
U4012,SMS,2025-05-04 15:39:36,172.16.225.215,CRM,Chrome,Windows 10,Bilgi İşlem,Takım Lideri
U4012,SMS,2025-05-08 13:56:04,172.16.225.215,CRM,Chrome,Windows 10,Bilgi İşlem,Takım Lideri
U4012,SMS,2025-05-21 12:39:51,172.16.225.215,HR System,Safari,Windows 10,Bilgi İşlem,Takım Lideri
U4013,SMS,2025-05-24 09:56:06,10.237.120.192,HR System,Chrome,Windows 10,Satış,Yönetici
U4013,OTP,2025-05-21 13:13:43,10.237.120.192,HR System,Chrome,Linux,Satış,Yönetici
U4013,OTP,2025-05-14 08:05:40,10.237.120.192,CRM,Chrome,macOS,Satış,Yönetici
U4014,OTP,2025-05-23 22:28:35,10.19.58.106,CRM,Chrome,Windows 10,Finans,Uzman
U4014,SMS,2025-05-27 10:34:02,192.168.145.4,CRM,Chrome,Windows 10,Finans,Uzman
U4014,Mail,2025-05-26 13:57:59,192.168.145.4,CRM,Edge,Windows 10,Finans,Uzman
U4015,SMS,2025-05-28 13:49:35,192.168.223.51,CRM,Safari,Windows 10,Satış,Takım Lideri
U4015,OTP,2025-05-06 10:51:51,192.168.223.51,CRM,Chrome,Linux,Satış,Takım Lideri
U4015,OTP,2025-05-28 14:51:42,192.168.223.51,CRM,Chrome,macOS,Satış,Takım Lideri
U4016,SMS,2025-05-08 08:54:30,10.116.24.77,HR System,Chrome,macOS,Bilgi İşlem,Stajyer
U4016,SMS,2025-05-22 11:14:01,10.116.24.77,HR System,Chrome,Windows 10,Bilgi İşlem,Stajyer
U4016,SMS,2025-05-17 12:22:41,10.116.24.77,HR System,Safari,Windows 10,Bilgi İşlem,Stajyer
U4017,SMS,2025-05-04 17:16:02,192.168.27.42,HR System,Firefox,Windows 10,Finans,Uzman
U4017,OTP,2025-05-13 17:32:07,192.168.27.42,CRM,Chrome,macOS,Finans,Uzman
U4017,SMS,2025-05-26 08:33:59,192.168.27.42,CRM,Chrome,Windows 10,Finans,Uzman
U4018,Mail,2025-05-24 18:54:07,10.124.31.8,HR System,Firefox,Windows 10,Finans,Yönetici
U4018,SMS,2025-05-07 12:35:08,10.124.31.8,HR System,Firefox,Linux,Finans,Yönetici
U4018,SMS,2025-05-13 17:36:19,10.124.31.8,CRM,Chrome,Windows 10,Finans,Yönetici
U4019,SMS,2025-05-07 15:28:43,192.168.120.40,CRM,Firefox,Windows 10,Finans,Stajyer
U4019,SMS,2025-05-11 21:40:39,10.98.130.140,CRM,Edge,Windows 10,Finans,Stajyer
U4019,SMS,2025-05-02 11:09:01,192.168.120.40,HR System,Firefox,macOS,Finans,Stajyer
U4020,SMS,2025-05-23 18:36:12,192.168.222.147,HR System,Chrome,Windows 10,İK,Stajyer
U4020,OTP,2025-05-28 08:57:48,192.168.222.147,CRM,Firefox,Windows 10,İK,Stajyer
U4020,SMS,2025-05-18 16:29:03,192.168.222.147,CRM,Chrome,macOS,İK,Stajyer
U4021,SMS,2025-05-17 17:52:46,10.55.110.215,HR System,Edge,macOS,Finans,Stajyer
U4021,SMS,2025-05-25 15:28:16,10.55.110.215,HR System,Firefox,Windows 10,Finans,Stajyer
U4021,SMS,2025-05-15 18:15:17,10.55.110.215,HR System,Chrome,Windows 10,Finans,Stajyer
U4022,SMS,2025-05-23 10:14:24,10.23.174.90,CRM,Chrome,Windows 10,Bilgi İşlem,Uzman
U4022,SMS,2025-05-02 16:29:26,10.23.174.90,HR System,Chrome,macOS,Bilgi İşlem,Uzman
U4022,Mail,2025-05-25 22:01:54,10.225.178.124,HR System,Safari,Windows 10,Bilgi İşlem,Uzman
U4023,SMS,2025-05-27 14:54:57,10.243.148.18,CRM,Chrome,Windows 10,Finans,Yönetici
U4023,SMS,2025-05-11 15:01:24,10.243.148.18,HR System,Firefox,macOS,Finans,Yönetici
U4023,Mail,2025-05-01 10:39:34,10.243.148.18,CRM,Chrome,Windows 10,Finans,Yönetici
U4024,SMS,2025-05-11 00:16:24,172.17.180.63,HR System,Edge,macOS,İK,Uzman
U4024,SMS,2025-05-27 14:17:48,10.85.26.193,CRM,Chrome,macOS,İK,Uzman
U4024,SMS,2025-05-21 08:22:14,10.85.26.193,CRM,Firefox,Linux,İK,Uzman
U4025,SMS,2025-05-05 17:09:15,192.168.136.15,CRM,Chrome,Windows 10,Satış,Takım Lideri
U4025,SMS,2025-05-06 12:49:23,192.168.136.15,CRM,Firefox,Windows 10,Satış,Takım Lideri
U4025,OTP,2025-05-01 04:06:37,192.168.106.135,HR System,Safari,Linux,Satış,Takım Lideri
U4026,SMS,2025-05-21 17:44:53,172.21.145.193,HR System,Edge,Windows 10,Satış,Takım Lideri
U4026,SMS,2025-05-26 09:50:36,172.21.145.193,HR System,Firefox,Windows 10,Satış,Takım Lideri
U4026,SMS,2025-05-28 18:21:00,172.21.145.193,HR System,Chrome,Linux,Satış,Takım Lideri
U4027,Mail,2025-05-17 14:11:46,10.98.204.232,HR System,Firefox,Linux,İK,Uzman
U4027,OTP,2025-05-27 15:29:27,10.98.204.232,HR System,Chrome,Windows 10,İK,Uzman
U4027,SMS,2025-05-15 01:17:56,172.20.125.175,HR System,Safari,macOS,İK,Uzman
U4028,SMS,2025-05-07 13:11:31,10.201.35.73,HR System,Chrome,macOS,Bilgi İşlem,Stajyer
U4028,Mail,2025-05-17 12:35:00,10.201.35.73,CRM,Chrome,Windows 10,Bilgi İşlem,Stajyer
U4028,SMS,2025-05-23 16:48:15,10.201.35.73,HR System,Chrome,Windows 10,Bilgi İşlem,Stajyer
U4029,SMS,2025-05-10 14:44:15,172.25.176.242,HR System,Chrome,Windows 10,Finans,Uzman
U4029,SMS,2025-05-11 14:47:35,172.25.176.242,HR System,Chrome,Windows 10,Finans,Uzman
U4029,SMS,2025-05-11 09:46:12,172.25.176.242,CRM,Chrome,macOS,Finans,Uzman
U4030,SMS,2025-05-10 09:53:12,10.4.101.29,CRM,Chrome,macOS,Finans,Yönetici
U4030,SMS,2025-05-02 10:17:02,10.4.101.29,CRM,Firefox,macOS,Finans,Yönetici
U4030,SMS,2025-05-19 09:55:00,10.4.101.29,HR System,Chrome,Windows 10,Finans,Yönetici
U4031,SMS,2025-05-03 15:07:52,192.168.93.209,CRM,Chrome,Windows 10,Bilgi İşlem,Yönetici
U4031,Mail,2025-05-19 10:09:51,192.168.93.209,CRM,Safari,Windows 10,Bilgi İşlem,Yönetici
U4031,SMS,2025-05-26 14:38:38,192.168.93.209,HR System,Chrome,Windows 10,Bilgi İşlem,Yönetici
U4032,Mail,2025-05-20 17:39:03,192.168.17.10,CRM,Safari,Windows 10,İK,Yönetici
U4032,SMS,2025-05-03 11:16:42,192.168.17.10,CRM,Chrome,Windows 10,İK,Yönetici
U4032,OTP,2025-05-20 06:28:44,192.168.123.0,HR System,Chrome,Windows 10,İK,Yönetici
U4033,Mail,2025-05-08 15:04:43,10.181.149.4,CRM,Chrome,Windows 10,Finans,Yönetici
U4033,SMS,2025-05-09 21:09:58,172.23.36.199,CRM,Chrome,Windows 10,Finans,Yönetici
U4033,SMS,2025-05-27 12:38:47,10.181.149.4,HR System,Chrome,Windows 10,Finans,Yönetici
U4034,SMS,2025-05-16 12:32:34,10.73.117.99,CRM,Edge,macOS,Finans,Stajyer
U4034,SMS,2025-05-03 17:16:01,10.73.117.99,CRM,Safari,Windows 10,Finans,Stajyer
U4034,OTP,2025-05-25 12:36:02,10.73.117.99,HR System,Chrome,Windows 10,Finans,Stajyer
U4035,SMS,2025-05-27 17:27:40,192.168.246.157,CRM,Chrome,Windows 10,Finans,Uzman
U4035,SMS,2025-05-28 13:42:06,192.168.246.157,HR System,Firefox,Windows 10,Finans,Uzman
U4035,SMS,2025-05-18 14:52:48,192.168.246.157,CRM,Chrome,Windows 10,Finans,Uzman
U4036,SMS,2025-05-15 18:55:34,10.18.142.163,CRM,Chrome,Windows 10,İK,Takım Lideri
U4036,SMS,2025-05-25 07:40:28,10.25.159.47,CRM,Edge,Linux,İK,Takım Lideri
U4036,OTP,2025-05-15 10:59:18,10.18.142.163,HR System,Chrome,Linux,İK,Takım Lideri
U4037,SMS,2025-05-18 12:35:00,172.27.201.46,CRM,Safari,Linux,Satış,Uzman
U4037,SMS,2025-05-27 15:07:41,172.27.201.46,HR System,Chrome,Windows 10,Satış,Uzman
U4037,SMS,2025-05-15 15:30:15,172.27.201.46,HR System,Chrome,Windows 10,Satış,Uzman
U4038,SMS,2025-05-28 12:49:50,172.20.157.104,HR System,Edge,Windows 10,Satış,Takım Lideri
U4038,Mail,2025-05-19 12:53:37,172.20.157.104,HR System,Edge,Windows 10,Satış,Takım Lideri
U4038,OTP,2025-05-18 15:22:21,172.20.157.104,HR System,Chrome,Windows 10,Satış,Takım Lideri
U4039,OTP,2025-05-28 17:24:14,172.16.227.8,CRM,Chrome,Windows 10,Satış,Uzman
U4039,OTP,2025-05-26 14:24:42,172.16.227.8,CRM,Chrome,Windows 10,Satış,Uzman
U4039,SMS,2025-05-28 16:37:21,172.16.227.8,HR System,Chrome,Linux,Satış,Uzman
U4040,SMS,2025-05-05 14:55:41,10.143.220.130,HR System,Chrome,Windows 10,Bilgi İşlem,Uzman
U4040,OTP,2025-05-11 18:05:54,10.143.220.130,HR System,Safari,Windows 10,Bilgi İşlem,Uzman
U4040,SMS,2025-05-02 15:55:34,10.143.220.130,CRM,Firefox,Linux,Bilgi İşlem,Uzman
U4041,OTP,2025-05-21 14:06:48,10.80.5.2,CRM,Chrome,Windows 10,Satış,Takım Lideri
U4041,SMS,2025-05-26 08:02:20,10.80.5.2,HR System,Chrome,Windows 10,Satış,Takım Lideri
U4041,OTP,2025-05-22 16:26:36,10.80.5.2,CRM,Chrome,Windows 10,Satış,Takım Lideri
U4042,SMS,2025-05-05 15:58:37,192.168.179.158,HR System,Chrome,Windows 10,İK,Uzman
U4042,SMS,2025-05-22 15:57:18,192.168.179.158,CRM,Chrome,Windows 10,İK,Uzman
U4042,Mail,2025-05-14 20:19:40,10.132.181.102,HR System,Safari,macOS,İK,Uzman
U4043,SMS,2025-05-13 15:06:15,192.168.226.175,HR System,Safari,Windows 10,Satış,Stajyer
U4043,SMS,2025-05-01 18:25:17,192.168.226.175,CRM,Safari,macOS,Satış,Stajyer
U4043,SMS,2025-05-08 12:49:51,192.168.226.175,HR System,Chrome,Windows 10,Satış,Stajyer
U4044,SMS,2025-05-21 18:06:57,10.177.147.96,HR System,Firefox,Windows 10,Finans,Uzman
U4044,Mail,2025-05-03 13:46:08,10.177.147.96,HR System,Firefox,Windows 10,Finans,Uzman
U4044,SMS,2025-05-12 10:50:34,10.177.147.96,HR System,Edge,Windows 10,Finans,Uzman
U4045,Mail,2025-05-15 13:51:07,192.168.26.114,CRM,Firefox,Windows 10,İK,Yönetici
U4045,Mail,2025-05-13 18:46:43,192.168.26.114,HR System,Chrome,Windows 10,İK,Yönetici
U4045,SMS,2025-05-15 12:34:07,192.168.26.114,HR System,Chrome,macOS,İK,Yönetici
U4046,SMS,2025-05-01 18:14:30,192.168.191.178,HR System,Safari,Windows 10,Finans,Takım Lideri
U4046,Mail,2025-05-15 09:40:52,192.168.191.178,HR System,Firefox,Windows 10,Finans,Takım Lideri
U4046,SMS,2025-05-16 08:02:19,192.168.191.178,CRM,Edge,Windows 10,Finans,Takım Lideri
U4047,SMS,2025-05-18 18:47:44,192.168.8.219,CRM,Edge,Windows 10,İK,Yönetici
U4047,SMS,2025-05-09 15:39:26,192.168.8.219,HR System,Chrome,Windows 10,İK,Yönetici
U4047,Mail,2025-05-04 11:54:23,192.168.8.219,HR System,Chrome,Linux,İK,Yönetici
U4048,Mail,2025-05-04 14:17:12,192.168.30.141,HR System,Chrome,Windows 10,Finans,Takım Lideri
U4048,OTP,2025-05-02 21:38:01,172.28.94.109,CRM,Firefox,Linux,Finans,Takım Lideri
U4048,SMS,2025-05-25 11:04:53,192.168.30.141,CRM,Edge,Windows 10,Finans,Takım Lideri
U4049,SMS,2025-05-05 12:54:09,10.169.72.61,CRM,Chrome,macOS,Satış,Takım Lideri
U4049,SMS,2025-05-26 02:00:22,192.168.11.104,HR System,Chrome,Windows 10,Satış,Takım Lideri
U4049,SMS,2025-05-24 12:03:08,10.169.72.61,CRM,Firefox,Windows 10,Satış,Takım Lideri
U4050,SMS,2025-05-20 15:32:14,10.137.211.52,HR System,Chrome,Linux,Finans,Takım Lideri
U4050,SMS,2025-05-13 08:30:54,10.137.211.52,CRM,Chrome,Linux,Finans,Takım Lideri
U4050,SMS,2025-05-11 09:57:05,10.137.211.52,CRM,Chrome,Windows 10,Finans,Takım Lideri
U4051,SMS,2025-05-15 17:33:18,192.168.143.138,HR System,Chrome,macOS,Finans,Stajyer
U4051,SMS,2025-05-25 18:41:56,192.168.143.138,CRM,Chrome,macOS,Finans,Stajyer
U4051,SMS,2025-05-15 14:21:52,192.168.143.138,CRM,Chrome,Windows 10,Finans,Stajyer
U4052,SMS,2025-05-16 10:43:59,172.23.43.65,CRM,Chrome,Windows 10,Finans,Yönetici
U4052,SMS,2025-05-18 13:51:08,172.23.43.65,HR System,Firefox,Windows 10,Finans,Yönetici
U4052,Mail,2025-05-28 18:48:27,172.23.43.65,CRM,Safari,Windows 10,Finans,Yönetici
U4053,SMS,2025-05-05 17:32:13,172.28.104.219,CRM,Edge,Windows 10,Finans,Takım Lideri
U4053,SMS,2025-05-25 16:23:07,172.28.104.219,CRM,Edge,macOS,Finans,Takım Lideri
U4053,SMS,2025-05-21 17:39:43,172.28.104.219,HR System,Chrome,Windows 10,Finans,Takım Lideri
U4054,SMS,2025-05-28 13:00:11,172.22.39.202,HR System,Chrome,macOS,Finans,Yönetici
U4054,SMS,2025-05-17 08:05:47,172.22.39.202,HR System,Chrome,Windows 10,Finans,Yönetici
U4054,Mail,2025-05-25 12:46:20,172.22.39.202,CRM,Edge,Windows 10,Finans,Yönetici
U4055,SMS,2025-05-14 12:28:42,10.211.105.246,HR System,Chrome,Windows 10,Bilgi İşlem,Takım Lideri
U4055,SMS,2025-05-14 16:07:22,10.211.105.246,HR System,Chrome,Windows 10,Bilgi İşlem,Takım Lideri
U4055,SMS,2025-05-02 11:25:38,10.211.105.246,HR System,Safari,macOS,Bilgi İşlem,Takım Lideri
U4056,Mail,2025-05-16 05:07:00,192.168.199.103,HR System,Firefox,Windows 10,Finans,Yönetici
U4056,SMS,2025-05-08 14:34:45,192.168.133.0,HR System,Chrome,macOS,Finans,Yönetici
U4056,Mail,2025-05-15 08:27:01,192.168.133.0,HR System,Chrome,Windows 10,Finans,Yönetici
U4057,SMS,2025-05-11 01:25:01,192.168.50.64,HR System,Edge,Windows 10,İK,Yönetici
U4057,SMS,2025-05-08 14:54:06,172.25.111.98,HR System,Chrome,Windows 10,İK,Yönetici
U4057,SMS,2025-05-08 12:47:21,172.25.111.98,CRM,Chrome,Windows 10,İK,Yönetici
U4058,OTP,2025-05-21 13:46:52,10.140.183.60,CRM,Chrome,Windows 10,Satış,Yönetici
U4058,OTP,2025-05-25 10:38:09,10.140.183.60,CRM,Chrome,macOS,Satış,Yönetici
U4058,OTP,2025-05-19 15:29:48,10.140.183.60,HR System,Firefox,macOS,Satış,Yönetici
U4059,SMS,2025-05-16 10:28:04,10.36.177.210,HR System,Firefox,Windows 10,Finans,Yönetici
U4059,SMS,2025-05-10 13:32:04,10.36.177.210,CRM,Chrome,macOS,Finans,Yönetici
U4059,SMS,2025-05-28 09:41:55,10.36.177.210,HR System,Chrome,Windows 10,Finans,Yönetici
U4060,SMS,2025-05-11 17:41:12,172.27.186.109,CRM,Safari,Windows 10,Bilgi İşlem,Stajyer
U4060,SMS,2025-05-17 13:45:05,172.27.186.109,CRM,Chrome,Windows 10,Bilgi İşlem,Stajyer
U4060,SMS,2025-05-20 15:33:33,172.27.186.109,HR System,Safari,Windows 10,Bilgi İşlem,Stajyer
U4061,SMS,2025-05-03 18:41:21,172.29.74.104,HR System,Chrome,macOS,Finans,Takım Lideri
U4061,SMS,2025-05-28 18:58:38,172.29.74.104,CRM,Chrome,Windows 10,Finans,Takım Lideri
U4061,SMS,2025-05-23 13:19:41,172.29.74.104,CRM,Chrome,Linux,Finans,Takım Lideri
U4062,SMS,2025-05-27 18:50:21,10.235.47.86,CRM,Firefox,Windows 10,Finans,Stajyer
U4062,SMS,2025-05-10 13:01:23,10.235.47.86,CRM,Chrome,macOS,Finans,Stajyer
U4062,SMS,2025-05-05 11:14:08,10.235.47.86,CRM,Chrome,Windows 10,Finans,Stajyer
U4063,SMS,2025-05-13 17:08:38,10.16.55.197,CRM,Edge,macOS,Bilgi İşlem,Yönetici
U4063,SMS,2025-05-02 10:46:28,10.16.55.197,CRM,Safari,Windows 10,Bilgi İşlem,Yönetici
U4063,SMS,2025-05-08 15:14:34,10.16.55.197,HR System,Safari,Windows 10,Bilgi İşlem,Yönetici
U4064,SMS,2025-05-17 12:49:24,10.114.106.131,CRM,Edge,macOS,İK,Stajyer
U4064,SMS,2025-05-02 10:55:16,10.114.106.131,HR System,Chrome,Windows 10,İK,Stajyer
U4064,SMS,2025-05-10 16:54:07,10.114.106.131,CRM,Chrome,Linux,İK,Stajyer
U4065,SMS,2025-05-27 09:58:14,10.13.255.191,HR System,Safari,Windows 10,Satış,Stajyer
U4065,SMS,2025-05-08 14:32:23,10.13.255.191,CRM,Chrome,Windows 10,Satış,Stajyer
U4065,SMS,2025-05-21 09:53:45,10.13.255.191,CRM,Chrome,Windows 10,Satış,Stajyer
U4066,Mail,2025-05-01 15:28:39,10.214.155.250,CRM,Chrome,macOS,İK,Uzman
U4066,SMS,2025-05-17 16:46:38,10.214.155.250,HR System,Chrome,Windows 10,İK,Uzman
U4066,SMS,2025-05-26 11:26:40,10.214.155.250,CRM,Chrome,Linux,İK,Uzman
U4067,SMS,2025-05-01 10:18:27,10.22.67.125,CRM,Chrome,Windows 10,Bilgi İşlem,Uzman
U4067,SMS,2025-05-12 18:05:33,10.22.67.125,CRM,Chrome,Windows 10,Bilgi İşlem,Uzman
U4067,OTP,2025-05-09 18:24:23,10.22.67.125,HR System,Firefox,Windows 10,Bilgi İşlem,Uzman
U4068,SMS,2025-05-18 10:02:22,172.22.192.200,CRM,Edge,Windows 10,Bilgi İşlem,Yönetici
U4068,SMS,2025-05-06 22:30:40,172.31.130.249,CRM,Safari,Windows 10,Bilgi İşlem,Yönetici
U4068,SMS,2025-05-26 12:12:02,172.22.192.200,CRM,Chrome,Windows 10,Bilgi İşlem,Yönetici
U4069,SMS,2025-05-21 12:02:48,172.16.64.92,HR System,Edge,Windows 10,İK,Stajyer
U4069,OTP,2025-05-04 21:21:17,10.70.180.163,HR System,Safari,Linux,İK,Stajyer
U4069,Mail,2025-05-11 15:57:24,172.16.64.92,HR System,Firefox,Windows 10,İK,Stajyer
U4070,Mail,2025-05-20 14:05:27,10.172.154.80,CRM,Chrome,Windows 10,Finans,Takım Lideri
U4070,SMS,2025-05-10 09:20:42,10.172.154.80,HR System,Chrome,Windows 10,Finans,Takım Lideri
U4070,Mail,2025-05-28 15:02:46,10.172.154.80,HR System,Chrome,Linux,Finans,Takım Lideri
U4071,SMS,2025-05-12 18:40:25,10.18.14.200,CRM,Safari,Windows 10,Bilgi İşlem,Takım Lideri
U4071,SMS,2025-05-15 17:43:50,10.18.14.200,CRM,Chrome,Windows 10,Bilgi İşlem,Takım Lideri
U4071,SMS,2025-05-02 13:24:36,10.18.14.200,HR System,Safari,Windows 10,Bilgi İşlem,Takım Lideri
U4072,SMS,2025-05-11 16:23:25,172.30.86.36,CRM,Safari,Windows 10,Bilgi İşlem,Uzman
U4072,Mail,2025-05-13 10:31:33,172.30.86.36,CRM,Chrome,Windows 10,Bilgi İşlem,Uzman
U4072,SMS,2025-05-10 15:13:39,172.30.86.36,HR System,Chrome,Windows 10,Bilgi İşlem,Uzman
U4073,Mail,2025-05-15 10:57:45,172.20.85.18,HR System,Firefox,macOS,Bilgi İşlem,Stajyer
U4073,OTP,2025-05-10 16:34:18,172.20.85.18,CRM,Firefox,Windows 10,Bilgi İşlem,Stajyer
U4073,SMS,2025-05-05 09:12:50,172.20.85.18,HR System,Chrome,Windows 10,Bilgi İşlem,Stajyer
U4074,SMS,2025-05-03 16:08:39,192.168.143.118,HR System,Safari,macOS,Finans,Stajyer
U4074,OTP,2025-05-14 16:26:49,192.168.143.118,CRM,Chrome,Windows 10,Finans,Stajyer
U4074,SMS,2025-05-22 09:28:29,192.168.143.118,CRM,Edge,macOS,Finans,Stajyer
U4075,SMS,2025-05-28 14:32:58,10.193.57.243,CRM,Chrome,Windows 10,Satış,Uzman
U4075,SMS,2025-05-23 10:20:59,10.193.57.243,HR System,Edge,Windows 10,Satış,Uzman
U4075,SMS,2025-05-05 18:35:17,10.193.57.243,CRM,Chrome,Windows 10,Satış,Uzman
U4076,SMS,2025-05-20 18:39:46,172.27.53.232,CRM,Edge,Windows 10,Satış,Uzman
U4076,SMS,2025-05-19 08:41:49,172.27.53.232,CRM,Firefox,Windows 10,Satış,Uzman
U4076,SMS,2025-05-21 18:01:31,172.27.53.232,HR System,Chrome,macOS,Satış,Uzman
U4077,SMS,2025-05-02 15:04:44,192.168.43.69,HR System,Chrome,Windows 10,İK,Yönetici
U4077,OTP,2025-05-28 17:09:20,192.168.43.69,HR System,Safari,Windows 10,İK,Yönetici
U4077,SMS,2025-05-04 13:32:35,192.168.43.69,HR System,Chrome,Windows 10,İK,Yönetici
U4078,SMS,2025-05-28 08:18:24,192.168.44.29,CRM,Safari,Linux,Satış,Takım Lideri
U4078,SMS,2025-05-24 13:59:36,192.168.44.29,CRM,Chrome,Windows 10,Satış,Takım Lideri
U4078,SMS,2025-05-16 15:56:19,192.168.44.29,HR System,Chrome,Linux,Satış,Takım Lideri
U4079,Mail,2025-05-16 00:03:18,192.168.82.147,HR System,Edge,Linux,Satış,Yönetici
U4079,SMS,2025-05-14 08:54:06,172.22.40.150,HR System,Firefox,macOS,Satış,Yönetici
U4079,SMS,2025-05-02 13:02:25,172.22.40.150,CRM,Chrome,Windows 10,Satış,Yönetici
U4080,SMS,2025-05-20 16:17:52,192.168.230.194,CRM,Chrome,Windows 10,İK,Stajyer
U4080,Mail,2025-05-18 13:50:21,192.168.230.194,CRM,Chrome,Windows 10,İK,Stajyer
U4080,SMS,2025-05-02 16:02:02,192.168.230.194,HR System,Edge,Windows 10,İK,Stajyer
U4081,SMS,2025-05-11 13:59:39,192.168.210.25,HR System,Chrome,Windows 10,Satış,Uzman
U4081,Mail,2025-05-23 19:34:31,192.168.154.159,HR System,Safari,Windows 10,Satış,Uzman
U4081,Mail,2025-05-04 13:21:43,192.168.210.25,HR System,Firefox,macOS,Satış,Uzman
U4082,SMS,2025-05-25 12:41:50,192.168.61.178,CRM,Firefox,Windows 10,Bilgi İşlem,Stajyer
U4082,SMS,2025-05-24 10:33:40,192.168.61.178,HR System,Chrome,Windows 10,Bilgi İşlem,Stajyer
U4082,SMS,2025-05-04 08:36:44,192.168.61.178,HR System,Chrome,Windows 10,Bilgi İşlem,Stajyer
U4083,OTP,2025-05-16 16:49:39,192.168.183.40,CRM,Firefox,Windows 10,Satış,Stajyer
U4083,SMS,2025-05-16 16:20:42,192.168.183.40,HR System,Safari,Windows 10,Satış,Stajyer
U4083,SMS,2025-05-12 16:21:34,192.168.183.40,HR System,Firefox,Windows 10,Satış,Stajyer
U4084,OTP,2025-05-10 16:19:14,192.168.155.17,CRM,Firefox,Windows 10,Satış,Yönetici
U4084,OTP,2025-05-26 15:22:35,192.168.155.17,HR System,Chrome,Windows 10,Satış,Yönetici
U4084,SMS,2025-05-27 14:57:25,192.168.155.17,CRM,Chrome,Windows 10,Satış,Yönetici
